[[490.25, 851.71], [17.95, 23.67]]
[[497.22, 863.47], [17.95, 23.67]]
[[497.86, 863.71], [18.05, 23.79]]
[[498.19, 863.83], [18.11, 23.91]]
[[506.05, 876.22], [18.2, 24.03]]
[[506.38, 876.35], [18.27, 24.15]]
[[513.84, 888.9], [18.36, 24.27]]
[[521.21, 901.73], [18.52, 24.51]]
[[522.23, 902.12], [18.59, 24.62]]
[[530.55, 915.66], [18.65, 24.74]]
[[539.17, 929.66], [18.88, 25.09]]
[[539.87, 929.94], [18.91, 25.09]]
[[539.87, 929.94], [18.93, 25.09]]
[[548.8, 944.44], [18.96, 25.09]]
[[548.8, 944.44], [19.02, 25.21]]
[[558.05, 959.46], [19.11, 25.32]]
[[567.62, 975.02], [19.2, 25.44]]
[[568.76, 975.48], [19.39, 25.78]]
[[578.71, 991.63], [19.46, 25.89]]
[[588.85, 1008.3], [19.73, 26.34]]
[[589.24, 1008.47], [19.93, 26.57]]
[[599.57, 1025.69], [20.14, 26.9]]
[[599.57, 1025.69], [20.29, 27.12]]
[[600.38, 1026.04], [20.42, 27.23]]
[[610.71, 1043.76], [20.38, 27.12]]
[[621.86, 1062.36], [20.46, 27.12]]
[[622.71, 1062.73], [20.59, 27.23]]
[[634.34, 1082.1], [20.74, 27.45]]
[[646.44, 1102.26], [20.8, 27.45]]
[[659.05, 1123.26], [21.02, 27.78]]
[[659.97, 1123.68], [21.21, 27.99]]
[[660.43, 1123.89], [21.41, 28.31]]
[[277.11, 963.01], [21.55, 28.52]]
[[278.11, 963.47], [21.55, 28.42]]
[[278.11, 963.47], [21.56, 28.31]]
[[282.39, 979.3], [21.64, 28.42]]
[[286.83, 995.73], [21.69, 28.42]]
[[291.8, 1012.95], [21.85, 28.63]]
[[296.6, 1030.67], [21.96, 28.74]]
[[297.32, 1031.02], [22.12, 28.95]]
[[302.33, 1049.45], [22.31, 29.26]]
[[302.7, 1049.64], [22.58, 29.67]]
[[303.07, 1049.82], [22.72, 29.88]]
[[307.91, 1068.82], [22.76, 29.88]]
[[308.29, 1069.01], [22.84, 29.98]]
[[308.67, 1069.2], [22.89, 29.98]]
[[314.51, 1089.39], [22.97, 30.08]]
[[314.9, 1089.59], [23.07, 30.18]]
