[(932.5, 97), (492.5, 350), (751.0, 350), (603.5, 77), (617.5, 91)]
[(933.0, 98), (493.5, 350), (751.0, 349), (603.5, 77), (615.5, 91)]
[(934.0, 98), (493.5, 350), (752.5, 350), (603.5, 77), (615.5, 91)]
[(935.5, 98), (494.5, 348), (754.0, 350), (604.0, 77), (614.5, 91)]
[(935.5, 99), (494.5, 348), (754.0, 350), (603.5, 77), (614.5, 91)]
[(935.5, 99), (495.5, 348), (755.0, 350), (603.0, 77), (613.5, 91)]
[(937.5, 98), (496.5, 348), (756.0, 350), (604.0, 77), (613.5, 92)]
[(939.0, 98), (496.5, 348), (757.5, 350), (604.0, 77), (613.5, 92)]
[(940.0, 98), (496.5, 347), (758.0, 350), (604.0, 76), (612.5, 92)]
[(941.0, 99), (498.0, 347), (759.0, 349), (602.5, 77), (612.5, 92)]
[(942.0, 99), (498.0, 346), (760.0, 349), (603.0, 77), (611.5, 92)]
[(942.0, 100), (498.0, 346), (760.5, 349), (603.5, 77), (611.5, 92)]
[(943.0, 100), (499.0, 346), (761.5, 349), (604.0, 77), (611.5, 92)]
[(944.0, 100), (499.0, 346), (761.5, 349), (603.5, 77), (610.5, 92)]
[(946.0, 101), (499.0, 345), (763.5, 350), (603.0, 77), (610.5, 92)]
[(947.0, 101), (500.0, 346), (763.5, 350), (602.5, 77), (609.5, 93)]
[(948.0, 101), (500.0, 346), (764.5, 350), (603.0, 77), (609.5, 93)]
[(949.0, 102), (501.0, 345), (765.5, 350), (604.0, 77), (610.5, 92)]
[(950.0, 102), (500.0, 344), (766.5, 351), (603.0, 77), (608.5, 93)]
[(951.0, 102), (500.0, 343), (767.5, 351), (603.0, 77), (609.5, 93)]
[(951.0, 103), (501.0, 343), (768.0, 350), (603.0, 77), (608.5, 93)]
[(952.0, 103), (502.0, 343), (769.0, 350), (602.0, 77), (608.5, 93)]
[(954.0, 104), (501.5, 343), (770.0, 350), (603.0, 77), (608.5, 93)]
[(955.5, 104), (502.5, 343), (771.0, 350), (603.0, 77), (608.5, 93)]
[(956.5, 105), (502.5, 343), (771.0, 351), (603.0, 77), (608.5, 93)]
[(957.0, 107), (503.5, 343), (772.0, 350), (603.0, 77), (608.5, 93)]
[(958.0, 107), (503.5, 342), (773.0, 350), (603.0, 78), (608.5, 93)]
[(961.0, 107), (504.0, 342), (774.0, 350), (603.0, 79), (607.5, 93)]
[(960.5, 107), (503.0, 342), (775.0, 351), (603.0, 79), (608.5, 93)]
[(962.5, 108), (505.0, 342), (776.0, 350), (603.0, 79), (607.5, 93)]
[(963.0, 108), (504.5, 342), (777.0, 349), (602.0, 79), (607.5, 94)]
[(964.0, 108), (505.5, 342), (776.5, 350), (602.0, 79), (606.5, 94)]
[(965.0, 108), (505.5, 342), (778.5, 350), (602.0, 80), (606.5, 94)]
[(967.0, 108), (507.0, 341), (779.5, 350), (602.0, 80), (606.5, 94)]
[(968.0, 108), (507.0, 341), (780.5, 350), (601.0, 80), (606.5, 95)]
[(969.0, 107), (507.0, 340), (780.5, 350), (601.0, 80), (605.5, 96)]
[(971.0, 107), (507.0, 340), (781.0, 351), (601.0, 81), (606.5, 96)]
[(971.0, 107), (508.0, 340), (781.0, 351), (601.0, 81), (605.5, 96)]
[(973.0, 108), (508.0, 340), (783.0, 352), (600.0, 81), (605.5, 96)]
[(974.0, 108), (508.0, 339), (782.0, 352), (600.0, 82), (604.5, 97)]
[(975.0, 108), (510.0, 340), (783.0, 351), (601.0, 82), (604.5, 97)]
[(976.0, 108), (510.0, 340), (784.0, 351), (601.0, 83), (604.5, 97)]
[(977.0, 109), (510.0, 339), (784.0, 351), (601.0, 83), (604.5, 98)]
[(978.0, 109), (511.0, 339), (784.0, 351), (600.0, 83), (603.5, 98)]
[(980.0, 110), (510.0, 338), (785.0, 351), (600.0, 84), (603.5, 98)]
[(981.0, 111), (511.0, 338), (786.0, 351), (600.0, 84), (603.5, 98)]
[(982.0, 111), (511.0, 338), (785.0, 350), (600.0, 84), (602.5, 98)]
[(983.0, 112), (512.0, 338), (786.0, 350), (599.0, 84), (602.5, 98)]
[(984.5, 112), (512.0, 338), (786.0, 350), (598.0, 84), (602.5, 98)]
[(984.5, 113), (513.5, 337), (787.0, 350), (598.0, 85), (601.5, 98)]
[(985.5, 113), (514.5, 336), (787.0, 350), (598.0, 85), (602.5, 99)]
[(988.0, 113), (515.5, 336), (787.0, 350), (597.0, 85), (600.5, 100)]
[(988.0, 113), (516.0, 336), (787.0, 350), (597.0, 85), (600.5, 100)]
[(989.0, 113), (517.0, 335), (787.0, 351), (596.0, 84), (599.5, 100)]
[(990.0, 114), (517.0, 334), (788.0, 351), (596.0, 85), (599.5, 100)]
[(991.0, 114), (518.0, 334), (788.0, 351), (597.0, 85), (599.5, 100)]
[(992.0, 114), (518.0, 334), (788.0, 352), (596.0, 85), (599.5, 99)]
[(993.0, 114), (519.0, 334), (788.0, 352), (596.0, 85), (599.5, 99)]
[(994.0, 114), (519.0, 333), (789.0, 353), (596.0, 84), (598.5, 100)]
[(995.0, 115), (520.0, 333), (789.0, 353), (596.0, 85), (598.5, 99)]
[(997.0, 114), (520.0, 333), (789.0, 353), (595.0, 86), (597.5, 99)]
[(998.0, 115), (519.5, 333), (789.0, 353), (595.0, 85), (598.5, 100)]
[(998.5, 115), (520.5, 333), (790.0, 353), (595.0, 86), (597.5, 100)]
[(999.5, 116), (520.5, 332), (790.0, 354), (594.0, 86), (597.5, 99)]
[(1001.5, 116), (520.5, 332), (790.0, 354), (594.0, 86), (597.5, 99)]
[(1001.5, 116), (520.0, 333), (790.0, 354), (594.0, 86), (597.5, 99)]
[(1003.5, 117), (520.0, 333), (791.0, 354), (594.0, 85), (596.5, 99)]
[(1004.0, 118), (521.0, 333), (790.0, 354), (594.0, 86), (596.5, 100)]
[(1006.0, 118), (521.5, 334), (791.0, 354), (593.0, 86), (596.5, 100)]
[(1007.0, 119), (522.5, 334), (791.0, 354), (593.0, 86), (596.5, 100)]
[(1007.0, 120), (522.5, 334), (791.0, 354), (593.0, 86), (595.5, 100)]
[(1008.0, 120), (522.5, 333), (791.0, 354), (593.0, 87), (595.5, 101)]
[(1010.0, 120), (522.5, 333), (791.0, 354), (592.0, 87), (594.5, 100)]
[(1011.0, 121), (522.0, 333), (791.0, 355), (592.0, 87), (594.5, 101)]
[(1012.0, 122), (523.0, 333), (790.0, 355), (592.0, 87), (593.5, 102)]
[(1014.0, 122), (523.0, 333), (791.0, 355), (591.0, 87), (594.5, 103)]
[(1014.0, 122), (523.0, 334), (791.0, 355), (591.0, 87), (594.5, 103)]
[(1016.0, 122), (522.0, 333), (791.0, 355), (590.0, 88), (593.5, 104)]
[(1017.0, 122), (523.0, 333), (790.0, 356), (590.0, 88), (592.5, 103)]
[(1018.0, 122), (523.0, 332), (790.0, 356), (589.0, 88), (591.5, 103)]
[(1019.0, 121), (523.0, 333), (789.0, 357), (588.0, 88), (591.5, 103)]
[(1020.0, 121), (522.0, 333), (789.0, 357), (588.0, 89), (591.5, 104)]
[(1021.0, 121), (522.0, 333), (789.0, 358), (587.0, 90), (590.5, 104)]
[(1023.0, 121), (522.0, 333), (788.0, 357), (587.0, 90), (589.5, 103)]
[(1024.0, 121), (522.0, 332), (787.5, 358), (587.0, 90), (589.5, 104)]
[(1025.0, 121), (522.0, 332), (787.5, 359), (586.0, 90), (589.5, 105)]
[(1026.0, 122), (522.0, 332), (787.5, 360), (585.0, 90), (588.5, 104)]
[(1027.0, 122), (521.0, 332), (786.5, 361), (585.0, 90), (588.0, 104)]
[(1029.0, 123), (521.0, 332), (786.5, 360), (585.0, 90), (588.0, 103)]
[(1029.0, 123), (521.0, 332), (785.5, 361), (584.0, 90), (587.0, 103)]
[(1031.0, 123), (521.0, 332), (784.5, 361), (583.0, 91), (586.5, 106)]
