[(1203.0, 692.0), (2313.0, 691.0), (3538.5, 1697.0), (36.5, 1766.5)]
[(1203.0, 691.0), (2314.0, 691.0), (3538.5, 1697.0), (37.0, 1767.0)]
[(1203.0, 692.0), (2313.0, 691.0), (3537.5, 1697.0), (36.5, 1766.5)]
[(1203.0, 692.0), (2313.0, 691.0), (3538.5, 1698.0), (37.5, 1767.5)]
[(1203.0, 691.0), (2313.0, 691.0), (3538.5, 1697.0), (37.5, 1766.5)]
[(1203.0, 692.0), (2314.0, 691.0), (3538.0, 1696.5), (37.5, 1767.5)]
[(1202.0, 692.0), (2314.0, 691.0), (3538.5, 1697.0), (37.5, 1766.5)]
[(1203.0, 692.0), (2313.0, 691.0), (3538.5, 1697.0), (37.5, 1767.5)]
[(1203.0, 691.0), (2313.0, 691.0), (3538.5, 1697.0), (37.5, 1766.5)]
[(1203.0, 692.0), (2314.0, 691.0), (3538.5, 1697.0), (37.5, 1767.5)]
[(1202.0, 692.0), (2314.0, 691.0), (3537.5, 1697.5), (37.5, 1767.5)]
[(1203.0, 692.0), (2313.0, 691.0), (3538.5, 1696.5), (37.0, 1767.0)]
[(1203.0, 692.0), (2313.0, 691.0), (3537.5, 1696.5), (37.5, 1767.5)]
[(1203.0, 692.0), (2313.0, 691.0), (3537.5, 1696.5), (38.5, 1767.5)]
[(1204.0, 692.0), (2313.0, 691.0), (3537.5, 1696.5), (37.5, 1767.5)]
[(1204.0, 692.0), (2313.0, 691.0), (3539.0, 1697.0), (38.5, 1767.5)]
[(1203.0, 692.0), (2313.0, 691.0), (3539.0, 1697.0), (38.5, 1767.5)]
[(1203.0, 692.0), (2313.0, 691.0), (3539.0, 1697.0), (38.5, 1768.5)]
[(1203.0, 692.0), (2314.0, 692.0), (3538.5, 1697.5), (38.5, 1767.5)]
[(1203.0, 693.0), (2314.0, 692.0), (3538.0, 1697.0), (38.5, 1768.5)]
[(1204.0, 692.0), (2314.0, 692.0), (3538.5, 1697.5), (38.5, 1768.5)]
[(1203.0, 692.0), (2314.0, 692.0), (3538.5, 1697.5), (39.0, 1768.0)]
[(1203.0, 692.0), (2314.0, 692.0), (3537.5, 1697.5), (39.0, 1769.0)]
[(1203.0, 693.0), (2314.0, 693.0), (3537.5, 1697.5), (39.0, 1769.0)]
[(1203.0, 693.0), (2314.0, 693.0), (3537.5, 1697.5), (39.0, 1769.0)]
[(1203.0, 693.0), (2314.0, 693.0), (3537.5, 1697.5), (39.0, 1769.0)]
[(1203.0, 692.0), (2314.0, 693.0), (3538.5, 1698.5), (39.0, 1769.0)]
[(1203.0, 693.0), (2314.0, 691.0), (3538.5, 1697.5), (39.0, 1769.0)]
[(1203.0, 693.0), (2314.0, 692.0), (3538.5, 1697.5), (39.0, 1769.0)]
[(1203.0, 693.0), (2314.0, 692.0), (3538.5, 1698.0), (39.0, 1769.0)]
[(1203.0, 693.0), (2314.0, 692.0), (3539.5, 1698.0), (39.0, 1769.0)]
[(1204.0, 693.0), (2314.0, 692.0), (3539.5, 1698.0), (39.5, 1769.5)]
[(1204.0, 692.0), (2314.0, 692.0), (3539.5, 1698.0), (39.5, 1769.5)]
[(1204.0, 693.0), (2314.0, 693.0), (3539.5, 1698.0), (39.5, 1769.5)]
[(1204.0, 693.0), (2315.0, 693.0), (3539.5, 1698.0), (39.5, 1769.5)]
[(1204.0, 693.0), (2315.0, 693.0), (3539.5, 1699.0), (39.5, 1769.5)]
[(1204.0, 693.0), (2315.0, 693.0), (3539.5, 1699.0), (39.5, 1769.5)]
[(1204.0, 693.0), (2314.0, 693.0), (3539.5, 1699.0), (39.5, 1769.5)]
[(1203.0, 693.0), (2314.0, 692.0), (3539.5, 1699.0), (40.5, 1769.5)]
[(1204.0, 692.0), (2315.0, 692.0), (3538.5, 1699.5), (39.5, 1770.5)]
[(1204.0, 693.0), (2315.0, 692.0), (3538.5, 1698.5), (39.5, 1769.5)]
[(1204.0, 693.0), (2314.0, 692.0), (3539.5, 1697.5), (40.5, 1770.5)]
[(1203.0, 693.0), (2314.0, 692.0), (3539.5, 1698.0), (39.5, 1769.5)]
[(1204.0, 693.0), (2315.0, 692.0), (3539.5, 1699.0), (40.0, 1770.0)]
[(1204.0, 692.0), (2315.0, 692.0), (3539.5, 1699.0), (40.0, 1770.0)]
[(1204.0, 692.0), (2315.0, 692.0), (3539.5, 1699.0), (39.5, 1769.5)]
[(1204.0, 692.0), (2314.0, 692.0), (3539.0, 1699.5), (39.5, 1770.5)]
[(1204.0, 692.0), (2314.0, 692.0), (3539.0, 1699.5), (39.0, 1770.0)]
[(1204.0, 692.0), (2314.0, 692.0), (3539.5, 1699.0), (39.0, 1770.0)]
[(1204.0, 692.0), (2315.0, 692.0), (3539.5, 1699.0), (39.5, 1770.5)]
[(1204.0, 692.0), (2315.0, 692.0), (3539.5, 1699.0), (38.5, 1770.5)]
[(1204.0, 692.0), (2315.0, 692.0), (3539.5, 1699.0), (38.5, 1769.5)]
[(1204.0, 692.0), (2315.0, 692.0), (3540.0, 1699.5), (39.5, 1769.5)]
[(1203.0, 692.0), (2315.0, 692.0), (3539.5, 1699.0), (39.5, 1770.5)]
[(1203.0, 693.0), (2315.0, 692.0), (3540.0, 1699.5), (39.5, 1770.5)]
[(1203.0, 693.0), (2315.0, 692.0), (3539.5, 1699.0), (39.5, 1770.5)]
[(1204.0, 692.0), (2315.0, 692.0), (3539.0, 1699.5), (39.5, 1771.5)]
[(1204.0, 693.0), (2315.0, 692.0), (3539.0, 1699.5), (38.5, 1770.5)]
[(1204.0, 693.0), (2313.0, 692.0), (3539.0, 1699.5), (39.5, 1770.5)]
[(1204.0, 693.0), (2314.0, 692.0), (3540.0, 1699.5), (38.5, 1770.5)]
[(1204.0, 693.0), (2314.0, 692.0), (3539.5, 1699.0), (39.5, 1771.5)]
[(1204.0, 693.0), (2315.0, 691.0), (3540.0, 1699.5), (38.5, 1770.5)]
[(1204.0, 693.0), (2315.0, 691.0), (3540.0, 1699.5), (39.5, 1771.5)]
[(1204.0, 692.0), (2315.0, 691.0), (3540.0, 1699.5), (38.5, 1771.5)]
[(1204.0, 693.0), (2315.0, 691.0), (3540.0, 1699.5), (38.5, 1771.5)]
